feature,coef_OLS,coef_Ridge,coef_Lasso,lasso_selected
cgm_at_meal,83.71044244385213,65.28854830157468,23.538388111115452,True
cgm_pre_mean,-119.23067491503248,-71.76933262764838,0.0,False
cgm_pre_std,2.538059710336014,-1.9597306364935743,-6.209685180012911,True
cgm_pre_min,43.345366629544145,21.868950468991063,0.0,False
cgm_pre_max,9.54824741291212,4.652054295024265,0.0,False
cgm_slope_15,13.666024173592872,15.3448188089152,13.96821249095082,True
cgm_slope_30,-32.61923673604885,-25.88407333080224,-7.384332920472013,True
carbs,6.551575872118059,6.606797376192891,6.127167125965467,True
protein,-3.704647975397311,-3.7195524363092427,-2.9718502710161525,True
fat,-0.7466673141735674,-0.7293144327384162,-0.23870024587224972,True
fiber,-0.869279796957716,-0.7908836128480474,-0.515361039729437,True
hour_sin,4.015576894083081,4.020230464736376,4.118917959006948,True
hour_cos,-0.020416144779391323,0.0056372558374747465,-0.0,False
bio_A1c PDL (Lab),15.189439517580203,15.246341910650843,11.907540039210462,True
bio_Fasting GLU - PDL (Lab),1.250349619960763,1.2115132972347573,1.8405436132346684,True
bio_Insulin,6.009243087565267,6.039515320978263,4.779388927819869,True
bio_BMI,-4.433361634948071,-4.530272045227429,-3.743080344042672,True
bio_Age,0.347927055637749,0.26547717357038514,-0.0,False
bio_group_encoded,-3.289185831699985,-3.2097904832019384,-0.0,False
bio_gender_encoded,-1.3713053784278708,-1.4029196081460085,-0.9426539490682683,True
meal_breakfast,1.2167866788283999,1.401107095895026,1.8574881876294904,True
meal_dinner,-0.11899592637248063,-0.1634179071891346,-0.0,False
meal_lunch,0.6980269464227826,0.5803777383651171,0.0,False
meal_snacks,-1.9336670199787678,-1.9554641235102843,-1.2981305752608256,True
